Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export
J,"Zhang, GP; Hill, CA; Xia, Y; Liang, F",,,,"Zhang, G. Peter; Hill, Craig A.; Xia, Yusen; Liang, Faming",,,Modeling the Relationship Between EDI Implementation and Firm Performance Improvement With Neural Networks,IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,,English,Article,,,,,,Electronic data interchange; neural networks; nonlinear modeling; resampling; supply chain management; variable selection,ELECTRONIC DATA INTERCHANGE; FOOD-INDUSTRY; IMPACT; TECHNOLOGY; ADOPTION; INTEGRATION; DIFFUSION; FRAMEWORK; BEHAVIOR; OUTCOMES,"This paper examines a number of electronic data interchange (EDI) usage and implementation factors and their role in improving a firm's efficiency, productivity and competitiveness. Unlike other studies in the literature that use exclusively linear models, we apply nonlinear neural networks to model the relationship between performance improvement and a set of predictor variables of EDI usage and supply chain coordination activities. A variable selection method is employed to identify key factors to predict a firm's operational excellence due to EDI implementation. In addition, a bootstrap resampling scheme is used to evaluate the robustness of the results. Note to Practitioners-Competing successfully in a highly competitive environment requires firms to coordinate well with their suppliers and customers. In this paper, we study the issue of how EDI implementation activities and usage affect a firm's performance. Our research has several important implications to practitioners. First, although a firm's performance improvement in several key areas may be attributed to many different aspects of EDI use and coordination activities, only a few key variables are critical. By focusing on a few key coordination activities and EDI implementation issues, managers are able to achieve significant performance improvement in efficiency, productivity, and competitiveness. Second, we find that coordination activities through the implementation of EDI can clearly improve many facets of a firm's performance, developing strategic alliances with supply chain partners is essential in enhancing both a firm's and its supply chain's competitiveness. Third, while using the basic routine EDI can improve efficiency, it is the enhanced use of the EDI system that contributes more to the productivity improvement and firm competitiveness.","[Zhang, G. Peter; Xia, Yusen] Georgia State Univ, Robinson Coll Business, Atlanta, GA 30303 USA; [Hill, Craig A.] Clayton State Univ, Sch Business, Morrow, GA 30260 USA; [Liang, Faming] Texas A&M Univ, Dept Stat, College Stn, TX 77843 USA","Zhang, GP (corresponding author), Georgia State Univ, Robinson Coll Business, Atlanta, GA 30303 USA.",gpzhang@gsu.edu; cahill2@bellsouth.net; yxia@gsu.edu; fliang@stat.tamu.edu,,,,,,60,2,2,0,10,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,PISCATAWAY,"445 HOES LANE, PISCATAWAY, NJ 08855 USA",1545-5955,,,IEEE T AUTOM SCI ENG,IEEE Trans. Autom. Sci. Eng.,JAN,2010,7,1,,,,,96,110,,10.1109/TASE.2009.2016351,,,15,Automation & Control Systems,Automation & Control Systems,537SE,WOS:000273133300009,,,,,2021-03-04
J,"Neves, MF; Scare, RF",,,,"Neves, Marcos Fava; Scare, Roberto Fava",,,Defining an Agribusiness Strategic Agenda for 2010-2020,INTERNATIONAL FOOD AND AGRIBUSINESS MANAGEMENT REVIEW,,,English,Article,,,,,,networks; sustainability; supply chains; marketing; agribusiness; agenda,,"This article addresses the importance of having a research agenda that is useful to industries, government and organizations in the future. The authors propose and share 10 topics with the research community. It builds upon the sustainability of business operations critical in the next era, 2010-2020, and the importance of considering the company as a network of relationships and contracts. These topics include: empowerment, simplicity, technology, emerging consumers and markets, integration of economy, climate and environment, risk management and network value reengineering. A research agenda is outlined for each topic.","[Neves, Marcos Fava; Scare, Roberto Fava] Univ Sao Paulo, FEARP Business Sch, BR-14040900 Sao Paulo, Brazil; [Neves, Marcos Fava; Scare, Roberto Fava] Markestrat Res & Projects Ctr, BR-14040900 Sao Paulo, Brazil","Neves, MF (corresponding author), Univ Sao Paulo, FEARP Business Sch, Av Bandeirantes 3900, BR-14040900 Sao Paulo, Brazil.",mfaneves@usp.br; rfava@usp.br,"Neves, Marcos F/J-8190-2012","Neves, Marcos/0000-0002-5693-7543",,,,15,1,1,1,13,INT FOOD & AGRIBUSINESS MANAGEMENT REVIEW,COLLEGE STATION,"333 BLOCKER BUILDING, 2124 TAMU, COLLEGE STATION, TX 77843-2124 USA",1559-2448,,,INT FOOD AGRIBUS MAN,Int. Food Agribus. Manag. Rev.,,2010,13,1,,,,,83,89,,,,,7,Agricultural Economics & Policy,Agriculture,865NZ,WOS:000298318900006,,DOAJ Gold,,,2021-03-04
J,"Chung, CJ; Wee, HM",,,,"Chung, Chun-Jen; Wee, Hui-Ming",,,Green-product-design value and information-technology investment on replenishment model with remanufacturing,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,,,English,Article,,,,,,deteriorating model; green product design; information technology applications investment; remanufacturing,PRODUCTION-INVENTORY POLICY; SUPPLY CHAIN MANAGEMENT; DETERIORATING ITEM; REVERSE LOGISTICS; SINGLE-VENDOR; LOT-SIZE; INTEGRATION; INTERNET; INDUSTRY; NETWORK,"Environmental issues, resource re-usage and information technology applications (ITA) are gaining interest in supply chain management researches. Critical environmental legislation has become common in all level of company operations. Green product design has a significant influence on the cost of purchase, disassembly, component inspection and repair, remanufacturing and recycling. Recently, the development and improved capabilities of ITA have changed the ways in which the supply chain operates. However, the traditional inventory model considers a case in which depletion of inventory is caused by a constant rate. In practice, there is an inventory loss due to deterioration. This paper investigates the impact of the green product design, the deteriorating factor and the ITA investment in business process considering remanufacturing. An integrated inventory deteriorating model is developed, considering green product design and remanufacturing. The integrated production-inventory deteriorating model for replenishment policy and distribution planning is derived utilising a time-weighted inventory approach. A numerical example is presented to demonstrate the theory. The results show that new technology evolution, reusable-item take-back ratio and direct shipment are the critical operation factors in green product design and ITA investment.","[Chung, Chun-Jen] Aletheia Univ, Dept Informat Commerce, Tainan 721, Taiwan; [Wee, Hui-Ming] Chung Yuan Christian Univ, Dept Ind & Syst Engn, Chungli 32023, Taiwan","Chung, CJ (corresponding author), Aletheia Univ, Dept Informat Commerce, Tainan 721, Taiwan.",cjchungboy@gmail.com,"santana, elysmara S D/P-2636-2016; Lai, Shun-Te/G-5774-2012",,,,,45,21,21,4,65,TAYLOR & FRANCIS LTD,ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",0951-192X,1362-3052,,INT J COMPUT INTEG M,Int. J. Comput. Integr. Manuf.,,2010,23,5,,,,,466,485,PII 921561456,10.1080/09511921003667714,,,20,"Computer Science, Interdisciplinary Applications; Engineering, Manufacturing; Operations Research & Management Science",Computer Science; Engineering; Operations Research & Management Science,593PU,WOS:000277472400007,,,,,2021-03-04
J,"Oglethorpe, D; Heron, G",,,,"Oglethorpe, David; Heron, Graeme",,,Sensible operational choices for the climate change agenda,INTERNATIONAL JOURNAL OF LOGISTICS MANAGEMENT,,,English,Article,,,,,,Climate change; Resource efficiency; Sustainable supply chains,SUPPLY CHAIN; FOOD-PRODUCTION; EMBEDDEDNESS; NETWORKS; INSIGHTS; MARKET; COST,"Purpose - The increasing focus on environmental sustainability and social responsibility within business agendas often leads to expectations that solutions lie in the downscaling, decentralising and deconsolidating of supply chains and logistics systems. This is no more acute than within the climate change agenda, the single biggest environmental challenge to industry today. The purpose of this paper is to challenge these notions and suggest that environmental burden actually decreases across increasing logistical scale and supply chain sophistication. Design/methodology/approach - Primary and secondary life cycle analysis and carbon auditing case evidence detailing and describing operations throughout the food supply chain is used to show what happens to resource efficiency when we chose possible downscaling routes. Findings - The paper contends that the principle of economic efficiency leading to environmental efficiency (or lean is green) is more generally applicable against our previous expectations and that supply chain sophistication and logistical scale is more likely to lead to environmental benefit rather than cost. Practical implications - From a commercial and industrial point of view, the paper provides evidence to promote conventional supply chain management good practice as a means of driving the demand needed for the technological change required to achieve climate change targets. This is good news for suppliers and distributors, particularly in the light of global economic conditions. From a consumer and policy perspective, the upshot of the paper is a call for more pragmatic thinking and a reminder that critical evidence-based decision making should be used when judging how best to formulate supply strategies. Originality/value - This paper represents a fresh way of thinking utilising more robust evidence amongst a set of issues that have become precariously muddled and confused.","[Oglethorpe, David; Heron, Graeme] Northumbria Univ, Newcastle Business Sch, Newcastle Upon Tyne NE1 8ST, Tyne & Wear, England","Oglethorpe, D (corresponding author), Northumbria Univ, Newcastle Business Sch, Newcastle Upon Tyne NE1 8ST, Tyne & Wear, England.",david.oglethorpe@northumbria.ac.uk,,"Oglethorpe, David/0000-0002-6505-1197",,,,49,25,26,0,34,EMERALD GROUP PUBLISHING LTD,BINGLEY,"HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND",0957-4093,1758-6550,,INT J LOGIST MANAG,Int. J. Logist. Manag.,,2010,21,3,,,,,538,557,,10.1108/09574091011089844,,,20,Management,Business & Economics,718IY,WOS:000287115800008,,,,,2021-03-04
J,"Iakovou, E; Vlachos, D; Xanthopoulos, A",,,,"Iakovou, Eleftherios; Vlachos, Dimitrios; Xanthopoulos, Anastasios",,,A stochastic inventory management model for a dual sourcing supply chain with disruptions,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,,,English,Article,,,,,,supply chain design; stochastic model; inventory management; disruption; dual sourcing; supply chain resilience,RANDOM YIELD; SINGLE; STRATEGIES,"As companies continue to globalise their operations and outsource significant portion of their value chain activities, they often end up relying heavily on order replenishments from distant suppliers. The explosion in long-distance sourcing is exposing supply chains and shareholder value at ever increasing operational and disruption risks. It is well established, both in academia and in real-world business environments, that resource flexibility is an effective method for hedging against supply chain disruption risks. In this contextual framework, we propose a single period stochastic inventory decision-making model that could be employed for capturing the trade-off between inventory policies and disruption risks for an unreliable dual sourcing supply network for both the capacitated and uncapacitated cases. Through the developed model, we obtain some important managerial insights and evaluate the merit of contingency strategies in managing uncertain supply chains.","[Iakovou, Eleftherios; Vlachos, Dimitrios; Xanthopoulos, Anastasios] Aristotle Univ Thessaloniki, Ind Management Div, Dept Mech Engn, Thessaloniki 54124, Greece","Iakovou, E (corresponding author), Aristotle Univ Thessaloniki, Ind Management Div, Dept Mech Engn, POB 461, Thessaloniki 54124, Greece.",eiakovou@auth.gr,,"Vlachos, Dimitrios/0000-0002-0430-2386",,,,39,30,31,1,44,TAYLOR & FRANCIS LTD,ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",0020-7721,1464-5319,,INT J SYST SCI,Int. J. Syst. Sci.,,2010,41,3,,,,,315,324,,10.1080/00207720903326894,,,10,"Automation & Control Systems; Computer Science, Theory & Methods; Operations Research & Management Science",Automation & Control Systems; Computer Science; Operations Research & Management Science,556ZK,WOS:000274636000006,,,,,2021-03-04
J,"Bernardes, ES",,,,"Bernardes, Ednilson S.",,,THE EFFECT OF SUPPLY MANAGEMENT ON ASPECTS OF SOCIAL CAPITAL AND THE IMPACT ON PERFORMANCE: A SOCIAL NETWORK PERSPECTIVE,JOURNAL OF SUPPLY CHAIN MANAGEMENT,,,English,Article,,,,,,social capital; relational embeddedness; supply interactions; strategic purchasing; supply management; survey methods; social network analysis,MARKET ORIENTATION; EMBEDDEDNESS; INFORMATION; INNOVATION; CHAIN; FIRMS; ORGANIZATIONS; SOCIALIZATION; GOVERNANCE; ADVANTAGE,"The notion of social capital or embeddedness has received increased attention in the field of supply chain management. However, although embeddedness has both a structural and a relational aspect, the structural has received more focus. In addition, circumstances that may affect the development of social capital, and the role and import of a focal firm's supply management function on aspects of social capital, remain unclear. This study draws on the social network perspective to explore factors associated with the relational embeddedness of social capital, and investigate the role of supply management on the process. Using empirical data collected from 204 U.S. manufacturing firms, an empirical framework is proposed and tested using structural equation modeling. The results of this study suggest a mechanism through which social capital affects firm performance, and indicate that the supply management function may contribute to sustainable competitive advantage. The study confirms that the relational embeddedness aspect of social capital should be treated as a critical antecedent to performance. It also highlights the potential role of the supply management function in developing social capital in dyadic network interactions.","Georgia So Univ, Statesboro, GA 30460 USA","Bernardes, ES (corresponding author), Georgia So Univ, Statesboro, GA 30460 USA.",,,,,,,79,70,71,4,67,JOHN WILEY & SONS INC,HOBOKEN,"111 RIVER ST, HOBOKEN, NJ 07030 USA",1523-2409,,,J SUPPLY CHAIN MANAG,J. Supply Chain Manag.,,2010,46,1,,,,,45,56,,10.1111/j.1745-493X.2009.03185.x,,,12,Management,Business & Economics,604IF,WOS:000278272000008,,,,,2021-03-04
J,"Wu, YF; Dong, M; Tang, W; Chen, FF",,,,"Wu, Yifan; Dong, Ming; Tang, Wei; Chen, F. Frank",,,Performance analysis of serial supply chain networks considering system disruptions,PRODUCTION PLANNING & CONTROL,,,English,Article,,,,,,supply chain management; discrete time Markov chain; risk; Bernoulli server; aggregation,MANUFACTURING SYSTEMS; UNRELIABLE MACHINES; RISK; DESIGN; MANAGEMENT; MODEL,"The supply chain networks could be very fragile in global environment due to unexpected events such as emergencies, normal disruptions and industrial accidents. The supply chain members may lose their production capacities temporarily, which might have significant impacts on the performance of the whole supply chain network. This article proposes a discrete time model to characterise the unreliable production capacity in serial supply chain networks. Based on the proposed model, the exact probability distributions are available for the performance analysis of a single-stage system in the lost sales scenario. The iterative methods are developed to derive the approximate performance measures for single-stage systems in the backorder scenario and multi-stage systems in both the lost sales and backorder scenarios. The proposed methods are verified through a series of numerical experiments. The analysis results suggest that the performance of the supply chain network suffers more from the downstream-stage unreliability than the upstream-stage unreliability. Furthermore, some application examples are illustrated to show the possible solutions for practical problems.","[Wu, Yifan; Dong, Ming] Shanghai Jiao Tong Univ, Antai Coll Econ & Management, Dept Operat Management, Shanghai 200052, Peoples R China; [Tang, Wei; Chen, F. Frank] Univ Texas San Antonio, Dept Mech Engn, San Antonio, TX 78249 USA","Dong, M (corresponding author), Shanghai Jiao Tong Univ, Antai Coll Econ & Management, Dept Operat Management, 535 Fahua Zhen Rd, Shanghai 200052, Peoples R China.",mdong@sjtu.edu.cn,"Dong, Ming/C-6260-2008",,"National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [70571050, 70871077]",The work presented in this article has been supported by the grants from National Natural Science Foundation of China (70571050 and 70871077).,,38,12,12,1,20,TAYLOR & FRANCIS LTD,ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",0953-7287,1366-5871,,PROD PLAN CONTROL,Prod. Plan. Control,,2010,21,8,,,,,774,793,PII 924178168,10.1080/09537281003674222,,,20,"Engineering, Industrial; Engineering, Manufacturing; Operations Research & Management Science",Engineering; Operations Research & Management Science,684GP,WOS:000284538700006,,,,,2021-03-04
J,"Alvarez, G; Pilbeam, C; Wilding, R",,,,"Alvarez, Gabriela; Pilbeam, Colin; Wilding, Richard",,,Nestle Nespresso AAA sustainable quality program: an investigation into the governance dynamics in a multi-stakeholder supply chain network,SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL,,,English,Article,,,,,,Supply chain management; Governance; Economic sustainability; Coffee,TRANSACTION-COST; INTERORGANIZATIONAL RELATIONSHIPS; APPROPRIATION CONCERNS; INTERFIRM NETWORKS; TRUST; COOPERATION; UNCERTAINTY; PERSPECTIVE; RESOURCES; ALLIANCES,"Purpose - Within the context of a sustainable supply chain, the purpose of this paper is to report on empirical longitudinal research on supply chain network evolution and dynamics of governance in a multi-stakeholder supply chain sustainability initiative led by Nespresso, the speciality coffee division of Nestle. Design/methodology/approach - The paper proposes a framework to study the creation and evolution of governance mechanisms over a five-year period. Data from 48 semi-structured interviews and 15 recent and historic documents were also analysed. The interviews were conducted among current and past representatives of all the organisations concerned including coffee traders, NGOs and farmers. Findings - In contrast with literature on the subject, governance mechanisms initially relied mostly on informal mechanisms. Formal governance mechanisms were incorporated into the relationships to enable the supply chain network to grow and to provide clarity to all actors. Relational quality processes that increased trust were critical elements in the early phase, and were explicitly built into a second phase of development. Research limitations/implications - Being a single case study, some caution needs to be applied to generalise findings beyond the specific context studied. An additional methodological limitation is the limited number of actors involved in the overall supply chain network. Practical implications - The paper shows the importance of treating governance mechanisms within the supply chain not as a fixed variable to be determined once and for all in the beginning of a relationship, but rather to adapt the coordination mechanisms of the relationships. Originality/value - The evolution of relationships over time has been often called for but rarely chosen. The case highlights the potential benefits of this type of research to develop an understanding of the evolution of relationships in a supply chain network.","[Alvarez, Gabriela; Pilbeam, Colin] Cranfield Sch Management, Doctoral Res Off, Bedford, England; [Wilding, Richard] Cranfield Sch Management, Ctr Logist & Supply Chain Management, Bedford, England","Alvarez, G (corresponding author), Cranfield Sch Management, Doctoral Res Off, Bedford, England.",gabriela.alvarez@cranfield.ac.uk,"Pilbeam, Colin/C-1926-2016","Pilbeam, Colin/0000-0002-7281-4295; Wilding, Richard/0000-0002-8547-6133",,,,108,85,86,5,145,EMERALD GROUP PUBLISHING LTD,BINGLEY,"HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND",1359-8546,1758-6852,,SUPPLY CHAIN MANAG,Supply Chain Manag.,,2010,15,2,,,,,165,182,,10.1108/13598541011028769,,,18,Business; Management,Business & Economics,581AM,WOS:000276492400007,,,,,2021-03-04
J,"Hwang, YD; Wen, YF; Chen, MC",,,,"Hwang, Yeong-Dong; Wen, Yuan-Feng; Chen, Mu-Chen",,,A study on the relationship between the PDSA cycle of green purchasing and the performance of the SCOR model,TOTAL QUALITY MANAGEMENT & BUSINESS EXCELLENCE,,,English,Article,,,,,,green purchasing; PDSA cycle; supply chain operations reference (SCOR) model; structural equation model (SEM),SUPPLY CHAIN MANAGEMENT; INDUSTRY; IMPLEMENTATION; METHODOLOGY; PRESSURES; FRAMEWORK; PRODUCT,"When environmental problems are the focus, conflicts between the general public and company stakeholders affect both regional and global cooperation prompting conflicts in many areas. As a consequence, various initiatives have been designed and adopted that improve environmental performance while maintaining sustainable development. Green purchasing is applied as a useful tool to mitigate the environmental impacts of consumption and to promote clean production technology. The supply chain operations reference (SCOR) model is proposed by a supply chain council as a standard supply chain performance evaluation model. This model has been widely embraced by many modern organisations. The SCOR model can be applied to analyse supply chain performance in a systematic way. It can also aid in communication among all members in the supply chain, and can assist in the development of a design for a better supply chain network. To further improve the performance of the green purchasing process, which is critical in numerous industries, this study explores the relationship between the plan-do-study-act (PDSA) cycle of green purchasing and the SCOR purchasing/sourcing process and its performance indices/metrics. In this study, those companies which produce Taiwanese green label products are taken as samples. The PDSA cycle of green purchasing and the SCOR model are used to construct a structural equation model (SEM). An SEM analysis is conducted to establish the relationship between the PDSA of green purchasing, the sourcing process, and its performance on the SCOR model. The results of this study provide some suggestions for companies conducting green purchasing.","[Hwang, Yeong-Dong] Leader Univ, Dept Operat Management, Tainan, Taiwan; [Wen, Yuan-Feng] Natl Kaohsiung Marine Univ, Dept Logist Management, Kaohsiung, Taiwan; [Chen, Mu-Chen] Natl Chiao Tung Univ, Inst Traff & Transportat, Taipei, Taiwan","Hwang, YD (corresponding author), Leader Univ, Dept Operat Management, Tainan, Taiwan.",hyd1020@ms11.hinet.net,,,,,,47,24,24,0,33,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXFORDSHIRE, ENGLAND",1478-3363,1478-3371,,TOTAL QUAL MANAG BUS,Total Qual. Manag. Bus. Excell.,,2010,21,12,,,,,1261,1278,PII 931189847,10.1080/14783363.2010.529361,,,18,Management,Business & Economics,695QK,WOS:000285387500002,,,,,2021-03-04
J,"Papageorgiou, LG",,,,"Papageorgiou, Lazaros G.",,,Supply chain optimisation for the process industries: Advances and opportunities,COMPUTERS & CHEMICAL ENGINEERING,,,English,Article,,,,,,Supply chain optimisation; Process industries; Strategic/tactical decisions,REVERSE PRODUCTION SYSTEM; INTEGRATED PRODUCTION; DEMAND UNCERTAINTY; LOGISTICS NETWORK; OPTIMAL-DESIGN; MANAGEMENT; FRAMEWORK; MODELS; CHALLENGES; APPROXIMATION,Supply chain management and optimisation is a critical aspect of modern enterprises and a flourishing research area. This paper presents a critical review of methodologies for enhancing the decision-making for process industry supply chains towards the development of optimal infrastructures (assets and network) and planning. The presence of uncertainty within supply chains is discussed as an important issue for efficient capacity utilisation and robust infrastructure decisions. The incorporation of business/financial and sustainability aspects is also considered and future challenges are identified (C) 2009 Elsevier Ltd. All rights reserved.,"UCL, Dept Chem Engn, Ctr Proc Syst Engn, London WC1E 7JE, England","Papageorgiou, LG (corresponding author), UCL, Dept Chem Engn, Ctr Proc Syst Engn, Torrington Pl, London WC1E 7JE, England.",,"Papageorgiou, Lazaros/L-2122-2013","Papageorgiou, Lazaros/0000-0003-4652-6086",,,,102,188,191,5,80,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",0098-1354,1873-4375,,COMPUT CHEM ENG,Comput. Chem. Eng.,DEC 10,2009,33,12,,,SI,,1931,1938,,10.1016/j.compchemeng.2009.06.014,,,8,"Computer Science, Interdisciplinary Applications; Engineering, Chemical",Computer Science; Engineering,518JS,WOS:000271688000005,,,,,2021-03-04
